QueryId,Iteration,DocId,Relevance
Q08,1,L00050,1
Q08,1,C00954,1
Q08,1,C00480,1
Q08,1,L00288,1
Q08,1,C00303,1
Q08,1,C00522,1
Q08,1,C00927,1
Q08,1,C00444,1
Q08,1,C00595,1
Q08,1,M00124,1
Q08,1,C00807,1
Q08,1,C00700,1
Q08,1,L00040,1
Q09,1,C00400,1
Q09,1,C00155,1
Q09,1,C00599,1
Q09,1,C00199,1
Q09,1,C00184,1
Q09,1,C00891,1
Q09,1,C00035,1
Q09,1,C00095,1
Q09,1,C00659,1
Q09,1,C00031,1
Q09,1,C00004,1
Q09,1,C00955,1
Q09,1,C00872,1
Q09,1,S00669,1
Q09,1,S00462,1
Q09,1,C00384,1
Q09,1,C00135,1
Q09,1,C00886,1
Q09,1,C00094,1
Q09,1,C00247,1
Q10,1,C00003,1
Q10,1,C00976,1
Q10,1,C00598,1
Q10,1,C00031,1
Q10,1,C00754,1
Q10,1,C00046,1
Q10,1,C00081,1
Q10,1,C00400,1
Q10,1,C00026,1
Q10,1,C00669,1
Q10,1,C00323,1
Q10,1,C00135,1
Q10,1,C00886,1
Q10,1,C00196,1
Q10,1,S00777,1
Q10,1,C00409,1
Q10,1,C00035,1
Q10,1,M00043,1
Q10,1,C00431,1
Q10,1,C00479,1
Q11,1,C00500,1
Q11,1,C00266,1
Q11,1,C00972,1
Q11,1,C00529,1
Q11,1,C00225,1
Q11,1,C00210,1
Q11,1,C00597,1
Q11,1,C00582,1
Q11,1,C00203,1
Q11,1,C00415,1
Q11,1,C00201,1
Q11,1,C00676,1
Q11,1,C00614,1
Q11,1,C00226,1
Q11,1,L00034,1
Q11,1,T00662,1
Q11,1,C00293,1
Q11,1,T00663,1
Q11,1,P_809,1
Q11,1,C00791,1
Q12,1,R00376,1
Q12,1,S00314,1
Q12,1,D00100,1
Q12,1,L00037,1
Q12,1,S00764,1
Q12,1,P_902,1
Q12,1,C00090,1
Q12,1,L00109,1
Q12,1,D00314,1
Q12,1,T00058,1
Q12,1,C00619,1
Q12,1,M00041,1
Q12,1,S00056,1
Q12,1,C00372,1
Q12,1,M00145,1
Q12,1,R00167,1
Q12,1,M00034,1
Q12,1,D00494,1
Q12,1,C00461,1
Q12,1,C00016,1
Q13,1,D00624,1
Q13,1,D00002,1
Q13,1,S00296,1
Q13,1,D00727,1
Q13,1,D00528,1
Q13,1,D00076,1
Q13,1,D00010,1
Q13,1,D00324,1
Q13,1,D00131,1
Q13,1,D00066,1
Q13,1,D00196,1
Q13,1,D00672,1
Q13,1,D00546,1
Q13,1,D00129,1
Q13,1,D00300,1
Q13,1,D00397,1
Q13,1,D00215,1
Q13,1,D00755,1
Q13,1,D00874,1
Q13,1,D00283,1
Q14,1,P_73,1
Q14,1,P_74,1
Q14,1,P_72,1
Q14,1,L00239,1
Q14,1,P_1094,1
Q14,1,P_95,1
Q14,1,P_69,1
Q14,1,P_71,1
Q14,1,P_820,1
Q14,1,P_1977,1
Q14,1,P_94,1
Q14,1,T00085,1
Q14,1,P_1254,1
Q14,1,P_3,1
Q14,1,L00474,1
Q14,1,P_1973,1
Q14,1,P_1582,1
Q14,1,C00001,0
Q14,1,C00002,0
Q14,1,C00003,0
Q15,1,L00041,1
Q15,1,L00100,1
Q15,1,L00235,1
Q15,1,L00114,1
Q15,1,L00165,1
Q15,1,L00490,1
Q15,1,L00486,1
Q15,1,L00159,1
Q15,1,L00152,1
Q15,1,S00083,1
Q15,1,L00427,1
Q15,1,L00134,1
Q15,1,L00423,1
Q15,1,L00483,1
Q15,1,L00446,1
Q15,1,L00237,1
Q15,1,L00188,1
Q15,1,L00170,1
Q15,1,S00308,1
Q15,1,S00629,1
Q16,1,C00221,1
Q16,1,C00657,1
Q16,1,C00607,1
Q16,1,C00923,1
Q16,1,C00002,1
Q16,1,C00701,1
Q16,1,C00131,1
Q16,1,C00431,1
Q16,1,C00019,1
Q16,1,C00920,1
Q16,1,C00395,1
Q16,1,C00459,1
Q16,1,C00327,1
Q16,1,C00474,1
Q16,1,D00793,1
Q16,1,C00801,1
Q16,1,C00755,1
Q16,1,D00834,1
Q16,1,C00028,1
Q16,1,C00269,1
Q17,1,C00282,1
Q17,1,C00002,1
Q17,1,C00480,1
Q17,1,C00474,1
Q17,1,C00403,1
Q17,1,C00701,1
Q17,1,C00221,1
Q17,1,C00269,1
Q17,1,C00101,1
Q17,1,C00721,1
Q17,1,C00607,1
Q17,1,C00174,1
Q17,1,C00392,1
Q17,1,C00007,1
Q17,1,C00962,1
Q17,1,C00789,1
Q17,1,C00588,1
Q17,1,C00922,1
Q17,1,C00940,1
Q17,1,C00959,1
Q18,1,D00094,1
Q18,1,D00413,1
Q18,1,D00035,1
Q18,1,D00028,1
Q18,1,D00002,1
Q18,1,D00492,1
Q18,1,D00694,1
Q18,1,D00064,1
Q18,1,D00587,1
Q18,1,D00533,1
Q18,1,D00860,1
Q18,1,S00296,1
Q18,1,D00124,1
Q18,1,D00324,1
Q18,1,D00855,1
Q18,1,D00196,1
Q18,1,D00226,1
Q18,1,D00007,1
Q18,1,D00309,1
Q18,1,D00116,1
Q19,1,P_1985,1
Q19,1,P_721,1
Q19,1,P_353,1
Q19,1,P_227,1
Q19,1,P_172,1
Q19,1,P_103,1
Q19,1,P_491,1
Q19,1,P_606,1
Q19,1,P_328,1
Q19,1,P_643,1
Q19,1,P_363,1
Q19,1,P_65,1
Q19,1,P_2050,1
Q19,1,P_426,1
Q19,1,P_359,1
Q19,1,P_259,1
Q19,1,P_614,1
Q19,1,P_355,1
Q19,1,P_1984,1
Q19,1,P_808,1
Q20,1,S00483,1
Q20,1,S00091,1
Q20,1,S00707,1
Q20,1,S00774,1
Q20,1,S00859,1
Q20,1,C00838,1
Q20,1,S00143,1
Q20,1,C00009,1
Q20,1,S00298,1
Q20,1,S00313,1
Q20,1,L00342,1
Q20,1,T00198,1
Q20,1,S00003,1
Q20,1,L00479,1
Q20,1,T00469,1
Q20,1,S00841,1
Q20,1,T00462,1
Q20,1,S00203,1
Q20,1,S00877,1
Q20,1,S00636,1
